tts_name,human_name
httpsdldropboxusercontentcomsclfi1zrjshj5obq3qtgk6kh3iNFSolo2jpgrlkey93e9grz2q8lx2v9inutry2zxzdl0.jpg,servant/actions.jpg
httpsdldropboxusercontentcomsclfiswafuisz3p15jtgwz5kc2NFSolo4jpgrlkey53gs4igbxrry39yqcw4a2q57edl0.jpg,servant/goals2.jpg
httpsdldropboxusercontentcomsclfikcjnv7hnvwjusn04jo5nvNFSolo3jpgrlkeyp3zjgvfnvodv3nhldolqwcd54dl0.jpg,servant/goals1.jpg
httpsdldropboxusercontentcomsclfirw7skgtqhc9zmq9zmnirvNFSolo10jpgrlkeydjrxdwnfk5vmywwz45yd9r6y9dl0.jpg,servant/legacies1.jpg
dldropboxusercontentcomsclfiz6hjgz4icifdgznlnjc3bSoloKitBuilder5jpgrlkeykca8wq1dhyj0ubqvghsjye1hddl0.jpg,servant/goalish-cards.jpg
httpsdldropboxusercontentcomsclfiyw37eponfcs9flq1l0n3zOathSite8jpgrlkeymnr1t97q2utce26owzrtuccwydl0.jpg,Site City of Forges.jpg
httpsdldropboxusercontentcomsclfilivpdzxp0vjgmn80ms8exOathSite12jpgrlkey9kfsdosy6mf9sgwazti56tjnydl0.jpg,Site Narrow Pass.jpg
httpsdldropboxusercontentcomsclfih1645lggez39kt3vkusp0OathSite7jpgrlkeyf792r7xgl1lpjirnlheuf9kgmdl0.jpg,Site Solitary Pillar.jpg
httpsdldropboxusercontentcomsclfi5am0nvr7mf6ee6fqrj9ujOathSite20jpgrlkeykciprrr9eku38wzi7m6bjxj0sdl0.jpg,Site Great Slum.jpg
httpsdldropboxusercontentcomsclfiwktxkjz0z049eyyw86jclOathSite4jpgrlkeyw2hep7nglyq2fdsrqukm95zm3dl0.jpg,Site Broken Peaks.jpg
httpsdldropboxusercontentcomsclfiud90lrv3yv7vct0lwxin7OathSite15jpgrlkeyjnbftjzdwtuchwpjf0x66ksizdl0.jpg,Site Steppe.jpg
httpsdldropboxusercontentcomsclfil9520kbrafipm1do8hiplOathSite3jpgrlkeyxqfbixkua1nre6xhwgm6ias8hdl0.jpg,Site Tidal Marshes.jpg
httpsdldropboxusercontentcomsclfihzst5wjk9qia1gxy5mnu8OathSitejpgrlkeywv6b3vvo4bwt0qe13upddn4e7dl0.jpg,Site Fair Isle.jpg
httpsdldropboxusercontentcomsclficw37vancct0s9yba9c637OathSite13jpgrlkeysvgd5hups0l3qsifgm60jt2k5dl0.jpg,Site Mines.jpg
